Running in CPU mode	
Epoch 1.36 / 50, i = 129 / 17800, loss = 2.245073	
Epoch 1.37 / 50, i = 130 / 17800, loss = 2.218179	
Epoch 1.37 / 50, i = 131 / 17800, loss = 2.225170	
Epoch 1.37 / 50, i = 132 / 17800, loss = 2.243593	
Epoch 1.37 / 50, i = 133 / 17800, loss = 2.254045	
Epoch 1.38 / 50, i = 134 / 17800, loss = 2.228684	
Epoch 1.38 / 50, i = 135 / 17800, loss = 2.218691	
Epoch 1.38 / 50, i = 136 / 17800, loss = 2.251817	
Epoch 1.38 / 50, i = 137 / 17800, loss = 2.230939	
Epoch 1.39 / 50, i = 138 / 17800, loss = 2.223596	
Epoch 1.39 / 50, i = 139 / 17800, loss = 2.224717	
Epoch 1.39 / 50, i = 140 / 17800, loss = 2.196910	
Epoch 1.40 / 50, i = 141 / 17800, loss = 2.236428	
Epoch 1.40 / 50, i = 142 / 17800, loss = 2.232976	
Epoch 1.40 / 50, i = 143 / 17800, loss = 2.291321	
Epoch 1.40 / 50, i = 144 / 17800, loss = 2.226313	
Epoch 1.41 / 50, i = 145 / 17800, loss = 2.185782	
Epoch 1.41 / 50, i = 146 / 17800, loss = 2.232686	
Epoch 1.41 / 50, i = 147 / 17800, loss = 2.163259	
Epoch 1.42 / 50, i = 148 / 17800, loss = 2.223107	
Epoch 1.42 / 50, i = 149 / 17800, loss = 2.222191	
Epoch 1.42 / 50, i = 150 / 17800, loss = 2.205180	
Epoch 1.42 / 50, i = 151 / 17800, loss = 2.180120	
Epoch 1.43 / 50, i = 152 / 17800, loss = 2.192792	
Epoch 1.43 / 50, i = 153 / 17800, loss = 2.195327	
Epoch 1.43 / 50, i = 154 / 17800, loss = 2.206928	
Epoch 1.44 / 50, i = 155 / 17800, loss = 2.177081	
Epoch 1.44 / 50, i = 156 / 17800, loss = 2.183562	
Epoch 1.44 / 50, i = 157 / 17800, loss = 2.166283	
Epoch 1.44 / 50, i = 158 / 17800, loss = 2.189773	
Epoch 1.45 / 50, i = 159 / 17800, loss = 2.185569	
Epoch 1.45 / 50, i = 160 / 17800, loss = 2.190602	
Epoch 1.45 / 50, i = 161 / 17800, loss = 2.191084	
Epoch 1.46 / 50, i = 162 / 17800, loss = 2.201224	
Epoch 1.46 / 50, i = 163 / 17800, loss = 2.162383	
Epoch 1.46 / 50, i = 164 / 17800, loss = 2.181924	
Epoch 1.46 / 50, i = 165 / 17800, loss = 2.120206	
Epoch 1.47 / 50, i = 166 / 17800, loss = 2.134650	
Epoch 1.47 / 50, i = 167 / 17800, loss = 2.145419	
Epoch 1.47 / 50, i = 168 / 17800, loss = 2.150855	
Epoch 1.47 / 50, i = 169 / 17800, loss = 2.145795	
Epoch 1.48 / 50, i = 170 / 17800, loss = 2.124386	
Epoch 1.48 / 50, i = 171 / 17800, loss = 2.164792	
Epoch 1.48 / 50, i = 172 / 17800, loss = 2.135295	
Epoch 1.49 / 50, i = 173 / 17800, loss = 2.162467	
Epoch 1.49 / 50, i = 174 / 17800, loss = 2.166417	
Epoch 1.49 / 50, i = 175 / 17800, loss = 2.163746	
Epoch 1.49 / 50, i = 176 / 17800, loss = 2.171111	
Epoch 1.50 / 50, i = 177 / 17800, loss = 2.123165	
Epoch 1.50 / 50, i = 178 / 17800, loss = 2.130328	
Epoch 1.50 / 50, i = 179 / 17800, loss = 2.141184	
Epoch 1.51 / 50, i = 180 / 17800, loss = 2.117513	
Epoch 1.51 / 50, i = 181 / 17800, loss = 2.121139	
Epoch 1.51 / 50, i = 182 / 17800, loss = 2.106735	
Epoch 1.51 / 50, i = 183 / 17800, loss = 2.097591	
Epoch 1.52 / 50, i = 184 / 17800, loss = 2.116814	
Epoch 1.52 / 50, i = 185 / 17800, loss = 2.079121	
Epoch 1.52 / 50, i = 186 / 17800, loss = 2.109786	
Epoch 1.53 / 50, i = 187 / 17800, loss = 2.092692	
Epoch 1.53 / 50, i = 188 / 17800, loss = 2.119104	
Epoch 1.53 / 50, i = 189 / 17800, loss = 2.093413	
Epoch 1.53 / 50, i = 190 / 17800, loss = 2.134595	
Epoch 1.54 / 50, i = 191 / 17800, loss = 2.141169	
Epoch 1.54 / 50, i = 192 / 17800, loss = 2.115099	
Epoch 1.54 / 50, i = 193 / 17800, loss = 2.119434	
Epoch 1.54 / 50, i = 194 / 17800, loss = 2.061119	
Epoch 1.55 / 50, i = 195 / 17800, loss = 2.112028	
Epoch 1.55 / 50, i = 196 / 17800, loss = 2.083032	
Epoch 1.55 / 50, i = 197 / 17800, loss = 2.098471	
Epoch 1.56 / 50, i = 198 / 17800, loss = 2.071158	
Epoch 1.56 / 50, i = 199 / 17800, loss = 2.030500	
Epoch 1.56 / 50, i = 200 / 17800, loss = 2.093539	
val_loss = 	2.1270844827999	
Epoch 1.56 / 50, i = 201 / 17800, loss = 2.075336	
Epoch 1.57 / 50, i = 202 / 17800, loss = 2.064590	
Epoch 1.57 / 50, i = 203 / 17800, loss = 2.047670	
Epoch 1.57 / 50, i = 204 / 17800, loss = 2.141951	
Epoch 1.58 / 50, i = 205 / 17800, loss = 2.052114	
Epoch 1.58 / 50, i = 206 / 17800, loss = 2.119955	
Epoch 1.58 / 50, i = 207 / 17800, loss = 2.105114	
Epoch 1.58 / 50, i = 208 / 17800, loss = 2.030121	
Epoch 1.59 / 50, i = 209 / 17800, loss = 2.063997	
Epoch 1.59 / 50, i = 210 / 17800, loss = 2.072485	
Epoch 1.59 / 50, i = 211 / 17800, loss = 2.074564	
Epoch 1.60 / 50, i = 212 / 17800, loss = 2.057270	
Epoch 1.60 / 50, i = 213 / 17800, loss = 2.031401	
Epoch 1.60 / 50, i = 214 / 17800, loss = 2.029871	
Epoch 1.60 / 50, i = 215 / 17800, loss = 2.081064	
Epoch 1.61 / 50, i = 216 / 17800, loss = 2.096962	
Epoch 1.61 / 50, i = 217 / 17800, loss = 2.060320	
Epoch 1.61 / 50, i = 218 / 17800, loss = 2.043892	
Epoch 1.62 / 50, i = 219 / 17800, loss = 2.094563	
Epoch 1.62 / 50, i = 220 / 17800, loss = 2.102325	
Epoch 1.62 / 50, i = 221 / 17800, loss = 2.079876	
Epoch 1.62 / 50, i = 222 / 17800, loss = 1.995777	
Epoch 1.63 / 50, i = 223 / 17800, loss = 2.051973	
Epoch 1.63 / 50, i = 224 / 17800, loss = 2.000608	
Epoch 1.63 / 50, i = 225 / 17800, loss = 2.040629	
Epoch 1.63 / 50, i = 226 / 17800, loss = 2.038049	
Epoch 1.64 / 50, i = 227 / 17800, loss = 2.112657	
Epoch 1.64 / 50, i = 228 / 17800, loss = 2.046110	
Epoch 1.64 / 50, i = 229 / 17800, loss = 2.017791	
Epoch 1.65 / 50, i = 230 / 17800, loss = 2.041482	
Epoch 1.65 / 50, i = 231 / 17800, loss = 2.021784	
Epoch 1.65 / 50, i = 232 / 17800, loss = 2.034266	
Epoch 1.65 / 50, i = 233 / 17800, loss = 1.997869	
Epoch 1.66 / 50, i = 234 / 17800, loss = 2.018308	
Epoch 1.66 / 50, i = 235 / 17800, loss = 2.031416	
Epoch 1.66 / 50, i = 236 / 17800, loss = 2.010722	
Epoch 1.67 / 50, i = 237 / 17800, loss = 1.994119	
Epoch 1.67 / 50, i = 238 / 17800, loss = 2.002733	
Epoch 1.67 / 50, i = 239 / 17800, loss = 1.987168	
Epoch 1.67 / 50, i = 240 / 17800, loss = 2.015430	
Epoch 1.68 / 50, i = 241 / 17800, loss = 1.980874	
Epoch 1.68 / 50, i = 242 / 17800, loss = 1.973818	
Epoch 1.68 / 50, i = 243 / 17800, loss = 2.046328	
Epoch 1.69 / 50, i = 244 / 17800, loss = 1.970328	
Epoch 1.69 / 50, i = 245 / 17800, loss = 2.055688	
Epoch 1.69 / 50, i = 246 / 17800, loss = 1.982571	
Epoch 1.69 / 50, i = 247 / 17800, loss = 1.988638	
Epoch 1.70 / 50, i = 248 / 17800, loss = 1.986209	
Epoch 1.70 / 50, i = 249 / 17800, loss = 2.032788	
Epoch 1.70 / 50, i = 250 / 17800, loss = 2.012697	
Epoch 1.71 / 50, i = 251 / 17800, loss = 2.053829	
Epoch 1.71 / 50, i = 252 / 17800, loss = 2.033489	
Epoch 1.71 / 50, i = 253 / 17800, loss = 2.015510	
Epoch 1.71 / 50, i = 254 / 17800, loss = 1.992897	
Epoch 1.72 / 50, i = 255 / 17800, loss = 2.028746	
Epoch 1.72 / 50, i = 256 / 17800, loss = 1.987544	
Epoch 1.72 / 50, i = 257 / 17800, loss = 1.986260	
Epoch 1.72 / 50, i = 258 / 17800, loss = 2.004019	
Epoch 1.73 / 50, i = 259 / 17800, loss = 2.015507	
Epoch 1.73 / 50, i = 260 / 17800, loss = 1.997733	
Epoch 1.73 / 50, i = 261 / 17800, loss = 1.982623	
Epoch 1.74 / 50, i = 262 / 17800, loss = 2.019446	
Epoch 1.74 / 50, i = 263 / 17800, loss = 2.006209	
Epoch 1.74 / 50, i = 264 / 17800, loss = 1.957431	
Epoch 1.74 / 50, i = 265 / 17800, loss = 2.011338	
Epoch 1.75 / 50, i = 266 / 17800, loss = 1.970655	
Epoch 1.75 / 50, i = 267 / 17800, loss = 1.966875	
Epoch 1.75 / 50, i = 268 / 17800, loss = 1.960482	
Epoch 1.76 / 50, i = 269 / 17800, loss = 1.968264	
Epoch 1.76 / 50, i = 270 / 17800, loss = 1.982780	
Epoch 1.76 / 50, i = 271 / 17800, loss = 1.986038	
Epoch 1.76 / 50, i = 272 / 17800, loss = 1.994295	
Epoch 1.77 / 50, i = 273 / 17800, loss = 1.998134	
Epoch 1.77 / 50, i = 274 / 17800, loss = 1.968597	
Epoch 1.77 / 50, i = 275 / 17800, loss = 2.000637	
Epoch 1.78 / 50, i = 276 / 17800, loss = 1.986444	
Epoch 1.78 / 50, i = 277 / 17800, loss = 1.950510	
Epoch 1.78 / 50, i = 278 / 17800, loss = 1.957822	
Epoch 1.78 / 50, i = 279 / 17800, loss = 1.961027	
Epoch 1.79 / 50, i = 280 / 17800, loss = 1.952000	
Epoch 1.79 / 50, i = 281 / 17800, loss = 1.941970	
Epoch 1.79 / 50, i = 282 / 17800, loss = 1.967099	
Epoch 1.79 / 50, i = 283 / 17800, loss = 1.923188	
Epoch 1.80 / 50, i = 284 / 17800, loss = 1.976849	
Epoch 1.80 / 50, i = 285 / 17800, loss = 1.944297	
Epoch 1.80 / 50, i = 286 / 17800, loss = 1.979832	
Epoch 1.81 / 50, i = 287 / 17800, loss = 1.948261	
Epoch 1.81 / 50, i = 288 / 17800, loss = 1.937851	
Epoch 1.81 / 50, i = 289 / 17800, loss = 1.946806	
Epoch 1.81 / 50, i = 290 / 17800, loss = 1.972569	
Epoch 1.82 / 50, i = 291 / 17800, loss = 1.973016	
Epoch 1.82 / 50, i = 292 / 17800, loss = 1.904145	
Epoch 1.82 / 50, i = 293 / 17800, loss = 1.912975	
Epoch 1.83 / 50, i = 294 / 17800, loss = 1.933771	
Epoch 1.83 / 50, i = 295 / 17800, loss = 1.955425	
Epoch 1.83 / 50, i = 296 / 17800, loss = 1.919133	
Epoch 1.83 / 50, i = 297 / 17800, loss = 1.934650	
Epoch 1.84 / 50, i = 298 / 17800, loss = 1.891713	
Epoch 1.84 / 50, i = 299 / 17800, loss = 2.015682	
Epoch 1.84 / 50, i = 300 / 17800, loss = 1.938530	
val_loss = 	1.9948451356454	
Epoch 1.85 / 50, i = 301 / 17800, loss = 2.020002	
Epoch 1.85 / 50, i = 302 / 17800, loss = 1.955091	
Epoch 1.85 / 50, i = 303 / 17800, loss = 1.899930	
Epoch 1.85 / 50, i = 304 / 17800, loss = 1.920163	
Epoch 1.86 / 50, i = 305 / 17800, loss = 1.985801	
