Running in CPU mode	
Epoch 1.38 / 40, i = 137 / 14240, loss = 1.979069	
Epoch 1.39 / 40, i = 138 / 14240, loss = 1.999237	
Epoch 1.39 / 40, i = 139 / 14240, loss = 2.003348	
Epoch 1.39 / 40, i = 140 / 14240, loss = 1.989669	
Epoch 1.40 / 40, i = 141 / 14240, loss = 2.019787	
Epoch 1.40 / 40, i = 142 / 14240, loss = 1.991112	
Epoch 1.40 / 40, i = 143 / 14240, loss = 2.079866	
Epoch 1.40 / 40, i = 144 / 14240, loss = 2.004995	
Epoch 1.41 / 40, i = 145 / 14240, loss = 1.996352	
Epoch 1.41 / 40, i = 146 / 14240, loss = 2.026001	
Epoch 1.41 / 40, i = 147 / 14240, loss = 1.951153	
Epoch 1.42 / 40, i = 148 / 14240, loss = 2.029042	
Epoch 1.42 / 40, i = 149 / 14240, loss = 2.013175	
Epoch 1.42 / 40, i = 150 / 14240, loss = 2.004039	
Epoch 1.42 / 40, i = 151 / 14240, loss = 1.985003	
Epoch 1.43 / 40, i = 152 / 14240, loss = 1.978438	
Epoch 1.43 / 40, i = 153 / 14240, loss = 1.989977	
Epoch 1.43 / 40, i = 154 / 14240, loss = 2.008989	
Epoch 1.44 / 40, i = 155 / 14240, loss = 1.977117	
Epoch 1.44 / 40, i = 156 / 14240, loss = 2.012228	
Epoch 1.44 / 40, i = 157 / 14240, loss = 1.968541	
Epoch 1.44 / 40, i = 158 / 14240, loss = 1.987326	
Epoch 1.45 / 40, i = 159 / 14240, loss = 2.010177	
Epoch 1.45 / 40, i = 160 / 14240, loss = 2.006860	
Epoch 1.45 / 40, i = 161 / 14240, loss = 2.001637	
Epoch 1.46 / 40, i = 162 / 14240, loss = 2.022647	
Epoch 1.46 / 40, i = 163 / 14240, loss = 1.953046	
Epoch 1.46 / 40, i = 164 / 14240, loss = 2.005848	
Epoch 1.46 / 40, i = 165 / 14240, loss = 1.952065	
Epoch 1.47 / 40, i = 166 / 14240, loss = 1.966149	
Epoch 1.47 / 40, i = 167 / 14240, loss = 1.952199	
Epoch 1.47 / 40, i = 168 / 14240, loss = 1.951797	
Epoch 1.47 / 40, i = 169 / 14240, loss = 1.964762	
Epoch 1.48 / 40, i = 170 / 14240, loss = 1.937106	
Epoch 1.48 / 40, i = 171 / 14240, loss = 1.982300	
Epoch 1.48 / 40, i = 172 / 14240, loss = 1.968676	
Epoch 1.49 / 40, i = 173 / 14240, loss = 1.987319	
Epoch 1.49 / 40, i = 174 / 14240, loss = 1.998171	
Epoch 1.49 / 40, i = 175 / 14240, loss = 1.970101	
Epoch 1.49 / 40, i = 176 / 14240, loss = 1.970374	
Epoch 1.50 / 40, i = 177 / 14240, loss = 1.926920	
Epoch 1.50 / 40, i = 178 / 14240, loss = 1.916428	
Epoch 1.50 / 40, i = 179 / 14240, loss = 1.968626	
Epoch 1.51 / 40, i = 180 / 14240, loss = 1.921901	
Epoch 1.51 / 40, i = 181 / 14240, loss = 1.932751	
Epoch 1.51 / 40, i = 182 / 14240, loss = 1.924648	
Epoch 1.51 / 40, i = 183 / 14240, loss = 1.915018	
Epoch 1.52 / 40, i = 184 / 14240, loss = 1.925696	
Epoch 1.52 / 40, i = 185 / 14240, loss = 1.921166	
Epoch 1.52 / 40, i = 186 / 14240, loss = 1.932640	
Epoch 1.53 / 40, i = 187 / 14240, loss = 1.947488	
Epoch 1.53 / 40, i = 188 / 14240, loss = 1.926929	
Epoch 1.53 / 40, i = 189 / 14240, loss = 1.932048	
Epoch 1.53 / 40, i = 190 / 14240, loss = 1.961576	
Epoch 1.54 / 40, i = 191 / 14240, loss = 1.975912	
Epoch 1.54 / 40, i = 192 / 14240, loss = 1.950129	
Epoch 1.54 / 40, i = 193 / 14240, loss = 1.942764	
Epoch 1.54 / 40, i = 194 / 14240, loss = 1.871716	
Epoch 1.55 / 40, i = 195 / 14240, loss = 1.926647	
Epoch 1.55 / 40, i = 196 / 14240, loss = 1.905497	
Epoch 1.55 / 40, i = 197 / 14240, loss = 1.878086	
Epoch 1.56 / 40, i = 198 / 14240, loss = 1.914958	
Epoch 1.56 / 40, i = 199 / 14240, loss = 1.863960	
